timestamp,admin0,actualCases,predictedCases,actualFatalities,predictedFatalities
2020-12-01,ET,110554,111566,1709,1712
2020-12-02,ET,110984,113600,1715,1719
2020-12-03,ET,111579,115344,1724,1726
2020-12-04,ET,112091,116863,1734,1734
2020-12-05,ET,112740,118182,1745,1742
2020-12-06,ET,113295,119323,1747,1750
2020-12-07,ET,113735,120313,1755,1758
2020-12-08,ET,114266,121182,1766,1767
2020-12-09,ET,114834,121966,1769,1775
2020-12-10,ET,115360,122704,1779,1784
2020-12-11,ET,115782,123403,1791,1793
2020-12-12,ET,116297,124055,1803,1802
2020-12-13,ET,116769,124666,1806,1811
2020-12-14,ET,117242,125240,1809,1820
2020-12-15,ET,117542,125785,1813,1830
2020-12-16,ET,118006,126307,1818,1839
2020-12-17,ET,118481,126816,1831,1849
2020-12-18,ET,119025,127317,1843,1859
2020-12-19,ET,119494,127810,1846,1870
2020-12-20,ET,119951,128293,1853,1880
2020-12-21,ET,120348,128768,1861,1891
2020-12-22,ET,120638,129235,1864,1902
2020-12-23,ET,120989,129696,1870,1913
2020-12-24,ET,121399,130152,1882,1925
2020-12-25,ET,121880,130606,1897,1937
2020-12-26,ET,122413,131060,1901,1949
2020-12-27,ET,122864,131514,1909,1962
2020-12-28,ET,123145,131967,1912,1975
2020-12-29,ET,123388,132419,1913,1989
2020-12-30,ET,123856,132870,1918,2003
